precision,recall,f1_score
0.6818798270303963,0.5707904855174297,0.621409342325036
0.699700859262422,0.31138764847286915,0.4309775129146524
0.6448467224304673,0.46399743558732226,0.5396740802413577
0.5365218800252974,0.1313413280253378,0.2110237407533038
0.12373798562313222,0.07953082796771006,0.09682729262613916
0.12077921077959576,0.7647179267174977,0.20861056178908605
0.5935866270456209,0.7458426109807226,0.6610609761084504
0.0,0.0,0.0
0.26388551440324254,0.7932696838549256,0.396029606493849
0.6433704724545517,0.8412189356131536,0.7291112560847092
0.7565615836958417,0.5181087661282788,0.6150314686189959
0.8787630979250488,0.3595121690100635,0.5102678472501416
0.0,0.0,0.0
0.0,0.0,0.0
0.7994088495575221,0.8582767614097929,0.8277975436369843
0.622120182666748,0.8460498199806809,0.7170077955583303
0.8689430296836029,0.93408448179718,0.9003370103062687
0.5973904554991308,0.7692987932725789,0.6725329213514637
0.6434691639651251,0.5820662312891931,0.611229463743501
0.0,0.0,0.0
0.33218142490489694,0.4782613747944664,0.3920561574860904
0.7188251848045452,0.9426319729548072,0.8156546185948118
0.0,0.0,0.0
0.13734080739251264,0.19846912866737812,0.16234129754162377
0.4222788542279608,0.1882527125892333,0.26041287329960305
0.44981053136948956,0.12890054177398796,0.20037916632294217
