patch_size,overlap,type,mIoU,pAcc,F1
144,0.75,val,0.3212,0.5515,0.4125
144,0.85,val,0.3264,0.5619,0.4175
144,0.95,val,0.3268,0.5637,0.4178
184,0.75,val,0.3518,0.6302,0.4421
184,0.85,val,0.3542,0.637,0.4446
184,0.95,val,0.3543,0.6396,0.4428
256,0.75,val,0.3221,0.6296,0.4019
256,0.95,val,0.3243,0.6347,0.4048
256,0.85,val,0.3215,0.6313,0.4031
320,0.75,val,0.2761,0.5849,0.3528
320,0.95,val,0.294,0.6187,0.3688
320,0.85,val,0.2937,0.6177,0.3688
144,0.75,test,0.3005,0.4882,0.4029
144,0.85,test,0.3005,0.4952,0.4018
144,0.95,test,0.3022,0.4977,0.4036
184,0.75,test,0.321,0.57,0.4213
184,0.85,test,0.3306,0.578,0.4321
184,0.95,test,0.3301,0.5814,0.4309
256,0.75,test,0.2812,0.5534,0.3708
256,0.95,test,0.2688,0.5498,0.3555
256,0.85,test,0.2669,0.5475,0.3537
320,0.75,test,0.2175,0.4979,0.2944
320,0.95,test,0.2275,0.5199,0.3029
320,0.85,test,0.2304,0.5211,0.3069
